seller_id,seller_city,seller_state,total_orders_fulfilled,total_revenue,avg_order_value,total_items_sold,total_distinct_products_sold,total_distinct_customers_served,total_freight_value,avg_days_to_deliver,avg_days_to_approve,pct_late_deliveries,total_late_orders,avg_review_score,total_reviews_received,pct_1star_reviews,pct_5star_reviews,distinct_categories_sold,top_category,was_acquired_via_mql,mql_origin,business_type,lead_type,lead_behaviour_profile,average_stock,declared_monthly_revenue,declared_product_catalog_size,has_company,has_gtin,days_to_close_deal
45213867cefbf2cd4c6177e10216a951,ARARAS,SP,14,4955.42,353.958571,14,9,14,433.74,11.928571428571429,0.7142857142857143,7.142857142857142,1,3.857142857142857,14,14.285714285714285,42.857142857142854,2,Musical Instruments,0,,,,,,,,,,
4559697a8f7e637227c2eeaed843baff,PRESIDENTE PRUDENTE,SP,42,3696.0,88.0,42,3,40,778.27,10.461538461538462,0.5476190476190477,7.142857142857142,3,4.0476190476190474,42,14.285714285714285,54.761904761904766,3,Home Appliances,0,,,,,,,,,,
455befea1bb853c75ccbca94cff26e5c,RESENDE,RJ,1,19.99,19.99,1,1,1,22.06,7.0,2.0,0.0,0,3.0,1,0.0,0.0,1,Health Beauty,1,Organic Search,Not Specified,Offline,Cat,Not Specified,0.0,0.0,0.0,0.0,2.0
455c5640e8c5bd1b2ee85c0158f85727,LUIZ ALVES,SC,8,6729.5,841.1875,8,7,8,457.39,12.75,0.75,0.0,0,4.5,8,0.0,62.5,4,Musical Instruments,0,,,,,,,,,,
455f46ef09a9e45667e2981df84b5cc2,SOROCABA,SP,2,59.8,29.9,2,1,2,31.18,4.0,0.0,0.0,0,2.5,2,50.0,0.0,1,Electronics,0,,,,,,,,,,
457fe919b032a3f7dadba6fb92cf7855,PAULINIA,SP,9,1104.89,122.765555,12,8,9,141.22,3.6666666666666665,0.0,0.0,0,4.777777777777778,9,0.0,77.77777777777779,1,Bed Bath Table,0,,,,,,,,,,
458c6fa920810ce2492da71bc26d9eec,CATANDUVA,SP,2,756.76,378.38,2,1,2,105.61,21.0,0.0,0.0,0,2.5,2,0.0,0.0,1,Health Beauty,0,,,,,,,,,,
458d868c9642f55f18f04e951a3fdde6,PORTO ALEGRE,RS,2,2718.0,1359.0,2,1,2,104.75,11.5,0.0,0.0,0,5.0,2,0.0,100.0,1,Health Beauty,0,,,,,,,,,,
45a3d05fb00435e52a28859dd03703b3,GUARULHOS,SP,1,1299.0,1299.0,1,1,1,24.79,9.0,1.0,0.0,0,5.0,1,0.0,100.0,1,Toys,0,,,,,,,,,,
45ba18c210d42734ec52c0c1c574e9ee,SAO ROQUE,SP,38,5589.13,147.082368,41,29,38,972.96,5.571428571428571,1.0526315789473684,5.263157894736842,2,3.8684210526315788,38,21.052631578947366,52.63157894736842,9,Baby,0,,,,,,,,,,
45c20d94d9171b0bcfab3c955e47d67b,CORDEIROPOLIS,SP,4,129.46,32.365,4,4,4,81.11,12.25,0.0,0.0,0,4.5,4,0.0,75.0,3,Housewares,0,,,,,,,,,,
45d33f715e24d15a6ccf5c17b3a23e3c,SOROCABA,SP,59,4838.23,82.003898,61,32,59,903.93,7.089285714285714,0.559322033898305,5.084745762711865,3,4.016949152542373,59,13.559322033898304,59.32203389830508,13,Computers Accessories,0,,,,,,,,,,
461ff5303b6c9c1a4a07f40c5aece516,PINHAIS,PR,3,102.7,34.233333,3,2,3,58.73,4.333333333333333,0.3333333333333333,0.0,0,3.6666666666666665,3,33.33333333333333,66.66666666666666,1,Health Beauty,0,,,,,,,,,,
466222e777149751370e7e98fb623b0c,RIO DE JANEIRO,RJ,1,87.9,87.9,1,1,1,17.55,6.0,0.0,0.0,0,5.0,1,0.0,100.0,1,Auto,0,,,,,,,,,,
4677a5437afda5fa7140b927b07be1cc,JAPIRA,PR,11,3415.7,310.518181,11,9,11,420.0,8.818181818181818,0.5454545454545454,9.090909090909092,1,4.363636363636363,11,0.0,45.45454545454545,3,Auto,0,,,,,,,,,,
46dc3b2cc0980fb8ec44634e21d2718e,RIO DE JANEIRO,RJ,521,128111.19,245.894798,542,189,521,11798.5,8.732142857142858,0.362763915547025,5.566218809980806,29,4.1708253358925145,521,11.708253358925145,62.38003838771593,7,Toys,0,,,,,,,,,,
46ef1a25845fc051c2998d878354810c,CLAUDIO,MG,5,250.41,50.082,5,4,5,98.04,14.8,0.0,0.0,0,4.4,5,0.0,40.0,2,Housewares,0,,,,,,,,,,
4736e9d642ef4257cd7622516931eb51,PIRACICABA,SP,16,1078.87,67.429375,20,12,16,370.9,2.625,0.625,0.0,0,4.125,16,6.25,56.25,5,Air Conditioning,0,,,,,,,,,,
47648caee88ccfe951fbb27fbf7b4cbe,DIADEMA,SP,3,1564.99,521.663333,3,3,3,68.0,10.666666666666666,0.3333333333333333,33.33333333333333,1,3.6666666666666665,3,33.33333333333333,66.66666666666666,1,Auto,0,,,,,,,,,,
478bfe564db21eeb44386606aa30b650,PEDRO LEOPOLDO,MG,3,182.7,60.9,3,3,3,48.1,9.0,0.0,0.0,0,4.666666666666667,3,0.0,66.66666666666666,1,Pet Shop,0,,,,,,,,,,
47efca563408aae19bb7206c2d969ea9,TERESINA,PI,12,2522.0,210.166666,12,5,12,443.32,12.090909090909092,0.3333333333333333,0.0,0,4.083333333333333,12,16.666666666666664,58.333333333333336,1,Auto,0,,,,,,,,,,
47f55702f598c7c6cc8458b0fbc1c49a,DORES DE CAMPOS,MG,2,127.5,63.75,2,2,2,35.9,11.0,0.0,0.0,0,3.0,2,50.0,50.0,1,Not Specified,0,,,,,,,,,,
48162d548f5b1b11b9d29d1e01f75a61,PIRACICABA,SP,68,20510.14,301.619705,91,43,66,2082.03,9.954545454545455,0.5147058823529411,1.4705882352941175,1,3.8970588235294117,68,17.647058823529413,54.41176470588235,7,Garden Tools,0,,,,,,,,,,
